Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
5 Series,2023,Middle East,Silver,Petrol,Automatic,2.6,80319,71958,9999,High
3 Series,2017,Asia,Red,Diesel,Automatic,1.9,128248,70789,5720,Low
i8,2021,North America,Blue,Hybrid,Automatic,2.8,38513,135887,5342,Low
3 Series,2015,South America,Black,Electric,Manual,2.2,66303,35777,7504,High
X5,2013,Middle East,Silver,Petrol,Automatic,3.0,57143,94136,5612,Low
7 Series,2015,South America,Silver,Hybrid,Manual,3.3,154965,101850,4721,Low
i8,2015,Asia,Red,Diesel,Automatic,3.2,20409,65029,7238,High
3 Series,2010,South America,Silver,Petrol,Manual,1.8,23624,38892,9233,High
X5,2012,Europe,Red,Petrol,Manual,3.1,22049,74631,6612,Low
X1,2021,Europe,Silver,Hybrid,Automatic,1.8,115865,83970,9999,High
X6,2010,Asia,Blue,Diesel,Manual,3.3,7049,102946,5154,Low
5 Series,2024,Africa,White,Electric,Manual,2.3,70490,67285,7860,High
3 Series,2022,South America,Grey,Electric,Automatic,1.1,73577,54973,9661,High
X6,2020,North America,White,Petrol,Manual,3.1,108315,83932,5303,Low
7 Series,2022,North America,Silver,Petrol,Manual,3.1,36768,94529,3228,Low
M3,2014,Asia,Red,Petrol,Automatic,2.5,23724,76844,4103,Low
X3,2024,Africa,Black,Electric,Manual,1.9,127700,49791,9000,High
i3,2023,Africa,Silver,Electric,Automatic,1.2,18130,48814,9999,High
X6,2022,Middle East,Silver,Diesel,Automatic,2.8,141439,106174,3662,Low
X3,2016,Asia,Black,Diesel,Automatic,1.3,7661,58565,8981,High
5 Series,2024,Middle East,Black,Hybrid,Automatic,2.7,191176,92256,6884,Low
X5,2020,Europe,White,Petrol,Manual,1.9,187310,138715,3969,Low
X1,2016,Asia,White,Petrol,Manual,1.8,131289,67343,7103,High
X1,2012,Africa,Black,Diesel,Manual,1.7,137641,47613,9999,High
i3,2013,North America,Red,Electric,Automatic,1.9,1928,38029,9275,High
i3,2020,South America,White,Electric,Manual,2.4,39909,51260,8987,High
5 Series,2010,Middle East,Blue,Diesel,Manual,2.0,42178,70659,8069,High
5 Series,2014,Africa,White,Petrol,Manual,2.5,137123,55713,7955,High
X6,2014,Asia,Black,Petrol,Automatic,3.4,125601,75796,4559,Low
X5,2011,Asia,Black,Petrol,Automatic,3.5,150268,75506,4427,Low
M5,2023,Europe,Blue,Petrol,Automatic,2.7,83222,122596,5053,Low
i3,2010,South America,Grey,Hybrid,Automatic,1.3,64584,46594,9999,High
3 Series,2013,Africa,Black,Diesel,Automatic,1.6,154882,57309,7514,High
X1,2017,Middle East,Blue,Petrol,Automatic,2.2,147650,54442,9627,High
i3,2019,Middle East,White,Electric,Manual,1.9,144171,47592,9657,High
X5,2020,Africa,Grey,Hybrid,Automatic,2.9,27406,81482,7879,High
i3,2014,Middle East,Blue,Electric,Automatic,1.5,175499,60900,9999,High
X6,2023,Asia,Blue,Petrol,Manual,3.3,184345,87658,6073,Low
X1,2024,South America,Red,Hybrid,Manual,1.0,139749,69771,9760,High
X6,2020,Europe,Red,Petrol,Automatic,2.8,67626,110109,4197,Low
i8,2010,Asia,Blue,Hybrid,Manual,2.1,70580,65681,7123,High
3 Series,2015,Middle East,Black,Diesel,Automatic,1.3,173121,46925,9999,High
X6,2023,North America,Black,Hybrid,Manual,3.4,164708,108488,7284,High
5 Series,2015,Europe,Grey,Petrol,Manual,2.2,130048,84481,4413,Low
7 Series,2019,Europe,White,Diesel,Automatic,3.8,111004,151664,3801,Low
X1,2024,North America,Blue,Petrol,Automatic,1.4,101458,85579,9999,High
7 Series,2017,Africa,Black,Electric,Manual,3.0,66458,116049,6170,Low
M5,2016,Europe,Red,Electric,Manual,3.4,118965,85361,6761,Low
i8,2020,Middle East,Silver,Hybrid,Manual,2.1,132451,105876,6527,Low
5 Series,2021,South America,White,Electric,Automatic,1.9,67742,83682,9641,High
3 Series,2012,Europe,Red,Diesel,Automatic,1.6,148857,64217,9999,High
i3,2019,Europe,Blue,Electric,Manual,2.1,169415,68017,9999,High
5 Series,2014,Asia,Red,Hybrid,Automatic,2.9,48024,63967,4845,Low
3 Series,2014,Europe,Grey,Diesel,Automatic,1.5,150422,46255,5732,Low
7 Series,2022,Europe,Blue,Petrol,Manual,3.8,116121,121787,5018,Low
X1,2015,Africa,Blue,Petrol,Automatic,1.2,147022,34814,9999,High
X6,2020,South America,Silver,Electric,Manual,2.8,34108,68428,6620,Low
X1,2018,Europe,White,Petrol,Manual,1.5,69726,46168,9999,High
3 Series,2018,Europe,Red,Petrol,Manual,2.3,11444,86419,9999,High
M3,2017,Africa,Red,Diesel,Automatic,2.6,44913,58120,4473,Low
M5,2012,Asia,Silver,Electric,Manual,3.1,37365,91440,4879,Low
M5,2023,Asia,White,Petrol,Automatic,3.6,151834,81825,5371,Low
M5,2013,Asia,Blue,Petrol,Automatic,3.4,110117,102285,3055,Low
X5,2023,Europe,White,Petrol,Manual,2.6,83791,113044,8526,High
X5,2018,Africa,Grey,Hybrid,Manual,2.7,165973,51651,4770,Low
i8,2010,Asia,Blue,Electric,Automatic,2.6,43101,58390,6451,Low
i8,2021,North America,Black,Petrol,Manual,2.4,179452,134445,7596,High
i3,2017,North America,Grey,Electric,Manual,1.6,61765,58030,9020,High
X3,2019,Asia,White,Petrol,Automatic,1.7,156597,53871,8897,High
X1,2012,North America,Black,Petrol,Manual,2.5,148846,62627,9999,High
7 Series,2021,North America,Blue,Petrol,Manual,3.3,42620,155000,5234,Low
X6,2017,Europe,Grey,Petrol,Manual,2.7,106632,120949,4221,Low
i8,2010,South America,Silver,Petrol,Automatic,3.0,11403,68453,5957,Low
X6,2022,South America,Red,Hybrid,Automatic,2.8,105328,111132,7453,High
X3,2019,South America,Grey,Hybrid,Manual,2.1,78349,53918,5453,Low
X6,2023,South America,Silver,Hybrid,Automatic,2.7,191633,106396,5166,Low
X3,2017,Asia,Silver,Petrol,Automatic,1.9,29357,84770,7048,High
5 Series,2021,Middle East,Black,Petrol,Manual,2.4,181364,109220,8925,High
3 Series,2015,Europe,Red,Diesel,Automatic,1.6,57472,46745,5375,Low
M3,2020,North America,Silver,Diesel,Manual,2.4,41946,78841,8442,High
X6,2011,Middle East,Black,Diesel,Automatic,2.9,159774,81272,6618,Low
7 Series,2014,Asia,White,Petrol,Manual,3.1,26531,131782,5747,Low
X1,2011,Middle East,Grey,Diesel,Automatic,1.3,85653,44312,9638,High
7 Series,2021,South America,Blue,Electric,Automatic,4.0,11636,111431,5457,Low
i3,2018,Middle East,Black,Electric,Automatic,1.8,54715,39223,9570,High
3 Series,2011,South America,Black,Petrol,Automatic,2.3,172860,60776,9999,High
M3,2017,Asia,White,Hybrid,Automatic,2.1,96447,66314,7400,High
X5,2021,Europe,Red,Hybrid,Automatic,2.4,154570,135230,4567,Low
X5,2024,Europe,Silver,Petrol,Automatic,3.2,133097,92619,6738,Low
X3,2011,Asia,Grey,Hybrid,Automatic,2.7,100834,70127,4458,Low
i3,2015,Middle East,Silver,Electric,Automatic,1.7,111662,62612,9999,High
M5,2022,Middle East,Red,Hybrid,Manual,3.0,28480,107388,7021,High
M5,2021,North America,Silver,Electric,Automatic,3.3,176672,94965,3728,Low
3 Series,2010,Middle East,Black,Diesel,Manual,1.4,26063,59280,9490,High
X1,2010,Europe,White,Diesel,Automatic,1.2,27058,44401,9999,High
M3,2012,Europe,White,Hybrid,Automatic,3.1,84978,72139,4610,Low
X5,2023,Middle East,Silver,Hybrid,Automatic,2.8,135820,110311,4942,Low
X1,2013,Asia,Silver,Petrol,Manual,2.2,153099,49423,8953,High
i3,2016,South America,White,Electric,Automatic,1.7,111553,32181,7031,High
i8,2017,Middle East,White,Hybrid,Automatic,3.2,92424,76955,7278,High
X1,2017,Middle East,Grey,Electric,Manual,1.6,81637,50979,6280,Low
i8,2019,Middle East,Blue,Electric,Manual,2.9,140372,94177,6576,Low
X5,2014,Middle East,Silver,Diesel,Automatic,3.1,6670,64430,5243,Low
M3,2016,Middle East,Black,Petrol,Manual,2.7,123108,107532,7410,High
M3,2024,South America,Black,Electric,Manual,2.6,186581,97300,5721,Low
X5,2021,Asia,White,Electric,Automatic,2.9,19608,129459,6762,Low
X3,2023,Europe,Grey,Electric,Automatic,2.3,111379,63244,9866,High
i8,2024,South America,Red,Petrol,Manual,2.2,196137,83809,8802,High
X3,2022,North America,White,Petrol,Manual,1.5,140280,82996,7335,High
X3,2010,Asia,Red,Petrol,Manual,2.5,191405,50150,7865,High
X3,2014,North America,Silver,Diesel,Automatic,1.5,142728,68890,5642,Low
i3,2016,North America,Black,Hybrid,Automatic,1.8,140078,71370,8831,High
i3,2022,South America,Black,Electric,Manual,1.2,167550,48053,9999,High
7 Series,2013,Europe,Black,Petrol,Automatic,3.9,114114,149112,5610,Low
M5,2024,South America,Red,Petrol,Automatic,3.0,59289,120818,6134,Low
X1,2019,South America,White,Hybrid,Manual,1.9,37484,62701,9999,High
X1,2018,Europe,Blue,Electric,Automatic,1.5,110741,62328,9999,High
i3,2016,Middle East,Silver,Electric,Manual,1.1,195346,64005,7718,High
5 Series,2016,Asia,Blue,Petrol,Manual,2.1,91758,66429,5326,Low
X3,2018,Africa,Silver,Petrol,Automatic,1.4,32010,63215,8916,High
X6,2023,Middle East,White,Electric,Automatic,2.9,111435,118964,6670,Low
i3,2018,North America,Red,Electric,Manual,1.5,10856,65050,6678,Low
i8,2017,Africa,Silver,Hybrid,Manual,2.2,150373,67470,5313,Low
7 Series,2016,Europe,Black,Petrol,Automatic,3.7,307,124952,4290,Low
X3,2010,Middle East,Grey,Diesel,Automatic,1.6,48331,81848,4061,Low
i3,2010,Middle East,Red,Electric,Automatic,1.5,120068,53554,9452,High
M3,2011,Middle East,Blue,Petrol,Automatic,1.9,35685,63378,7676,High
X3,2020,Asia,White,Petrol,Automatic,2.7,195784,96397,7164,High
3 Series,2015,Europe,Silver,Petrol,Manual,1.9,31850,78128,7294,High
X3,2012,South America,Silver,Diesel,Manual,2.2,136828,51075,7194,High
M3,2013,Asia,Black,Diesel,Manual,2.0,182284,90309,7454,High
i8,2017,Europe,Blue,Hybrid,Automatic,2.3,164785,83030,7721,High
M3,2020,South America,Black,Hybrid,Automatic,2.5,181013,58438,4377,Low
X1,2016,Asia,White,Petrol,Manual,1.7,97459,44215,9999,High
3 Series,2013,Middle East,Red,Diesel,Manual,2.7,57109,52521,5890,Low
i3,2022,Africa,White,Electric,Manual,1.1,69352,46094,6638,Low
5 Series,2020,Africa,Blue,Electric,Automatic,2.6,60528,67580,4453,Low
5 Series,2014,South America,Blue,Petrol,Automatic,2.0,141806,43066,6277,Low
i3,2019,South America,Black,Hybrid,Automatic,1.8,28480,42617,9421,High
M3,2014,Europe,Silver,Petrol,Manual,2.6,195813,67116,5748,Low
3 Series,2011,Europe,Silver,Hybrid,Automatic,2.3,159774,60115,7680,High
3 Series,2021,Asia,Blue,Petrol,Manual,1.7,61020,81605,9999,High
3 Series,2012,South America,White,Petrol,Automatic,1.0,48455,45502,7185,High
7 Series,2021,North America,White,Diesel,Manual,3.3,39379,132076,6887,Low
X1,2018,Asia,Silver,Petrol,Manual,2.0,190732,49721,9999,High
M5,2024,Africa,Silver,Electric,Automatic,3.1,108312,81098,7855,High
5 Series,2019,North America,Red,Hybrid,Automatic,1.5,180317,66750,7747,High
M3,2023,Middle East,Grey,Electric,Manual,3.0,76372,94365,5711,Low
5 Series,2022,South America,Black,Electric,Manual,2.4,108355,80755,5575,Low
M3,2020,Africa,Red,Hybrid,Automatic,2.2,55831,81810,8399,High
7 Series,2022,Middle East,Black,Electric,Manual,3.5,82042,146788,5876,Low
M5,2024,Middle East,Red,Hybrid,Automatic,3.1,55247,97979,6954,Low
3 Series,2017,Middle East,White,Electric,Automatic,1.4,80202,70827,9744,High
5 Series,2022,Asia,Red,Hybrid,Automatic,2.4,194609,102928,5723,Low
5 Series,2018,South America,Grey,Hybrid,Manual,1.0,82717,82246,6267,Low
i3,2019,Middle East,Black,Electric,Manual,1.1,190836,63291,9999,High
i3,2023,South America,White,Electric,Automatic,1.6,109179,42135,9999,High
5 Series,2024,North America,Grey,Diesel,Automatic,2.0,62639,101725,9449,High
M3,2024,South America,Grey,Hybrid,Automatic,2.3,76356,75239,4843,Low
i3,2020,Asia,Grey,Hybrid,Manual,1.4,176425,62889,9999,High
X6,2024,Africa,Black,Hybrid,Automatic,3.1,139501,91124,5287,Low
X6,2023,Asia,Black,Diesel,Automatic,2.9,83469,110977,7648,High
X5,2014,North America,Blue,Petrol,Automatic,1.7,26301,111999,3542,Low
M5,2012,Europe,Red,Diesel,Automatic,2.6,168223,118564,4412,Low
i3,2013,Asia,Blue,Electric,Automatic,1.3,181229,38172,7572,High
M3,2018,Europe,Blue,Petrol,Automatic,2.9,124402,87835,4047,Low
X1,2013,North America,Blue,Hybrid,Automatic,2.7,28328,69398,9316,High
X5,2017,South America,Red,Petrol,Manual,2.8,164537,102449,5853,Low
3 Series,2022,South America,Silver,Electric,Automatic,2.5,50769,42084,9399,High
3 Series,2014,Europe,Blue,Diesel,Automatic,1.7,74171,54786,9999,High
M3,2020,Middle East,Silver,Petrol,Manual,2.2,143991,106979,6955,Low
i3,2013,Africa,Black,Electric,Manual,1.0,18589,49152,9999,High
3 Series,2018,Europe,Black,Electric,Manual,1.8,179735,66301,8745,High
X6,2020,Europe,White,Electric,Manual,3.0,33343,89952,6856,Low
i8,2017,South America,Red,Hybrid,Manual,3.1,85545,89758,7332,High
M5,2022,North America,White,Petrol,Manual,2.9,89187,151625,5102,Low
X6,2013,South America,Black,Electric,Automatic,2.7,110554,96237,6888,Low
M5,2014,South America,Black,Petrol,Manual,2.7,55526,108040,5086,Low
X3,2011,Middle East,Silver,Petrol,Automatic,1.7,95765,83926,4618,Low
X3,2011,North America,Grey,Petrol,Automatic,2.2,190337,58708,4949,Low
i8,2017,Middle East,Silver,Hybrid,Automatic,2.8,160181,90040,7124,High
X3,2010,Africa,Blue,Petrol,Automatic,2.3,129395,63853,4505,Low
7 Series,2024,Middle East,Black,Electric,Manual,3.2,63378,155000,4470,Low
i8,2018,North America,Blue,Hybrid,Manual,2.9,51039,123766,6848,Low
5 Series,2010,North America,Black,Petrol,Manual,1.7,196849,55223,7760,High
X1,2012,Africa,White,Diesel,Automatic,1.7,61809,43546,9999,High
M5,2018,Africa,White,Electric,Automatic,2.8,116319,98358,5917,Low
i3,2017,Africa,Black,Electric,Manual,1.5,128302,29278,6597,Low
X3,2023,North America,Black,Petrol,Manual,2.5,89809,105996,7194,High
X1,2023,South America,Red,Petrol,Automatic,1.8,58743,58049,7698,High
3 Series,2022,South America,Red,Petrol,Manual,1.7,26749,65898,7152,High
M3,2012,South America,Black,Diesel,Automatic,2.7,30895,69385,5765,Low
M3,2011,Middle East,Silver,Diesel,Manual,2.6,157684,77589,3639,Low
M3,2020,Europe,White,Diesel,Automatic,2.3,73969,98321,7304,High
i3,2022,Asia,Blue,Hybrid,Automatic,1.7,96138,43348,9999,High
3 Series,2019,Africa,White,Electric,Automatic,1.5,33723,47477,9478,High
X6,2016,Asia,Blue,Hybrid,Automatic,2.7,192612,124909,4858,Low
7 Series,2017,Middle East,Blue,Petrol,Manual,3.0,134493,133714,5522,Low
X3,2023,North America,Black,Electric,Manual,2.4,38311,60576,7476,High
i3,2014,Europe,White,Electric,Manual,1.5,167808,65336,9999,High
5 Series,2020,North America,Blue,Hybrid,Automatic,1.9,62168,69334,9528,High
M3,2023,North America,Silver,Electric,Manual,2.5,67634,99037,4518,Low
i8,2010,Africa,Red,Petrol,Manual,2.5,121351,49298,5937,Low
M5,2014,Asia,Black,Diesel,Automatic,2.2,183567,78701,6613,Low
M5,2019,North America,White,Petrol,Manual,4.3,171775,107916,5142,Low
i3,2017,South America,Red,Petrol,Manual,1.7,120334,37032,9034,High
X6,2020,Africa,Red,Hybrid,Manual,2.7,95140,87022,3927,Low
3 Series,2011,South America,Blue,Petrol,Automatic,1.9,7697,45845,5039,Low
X6,2012,Europe,Silver,Diesel,Automatic,2.8,153224,97336,6714,Low
i8,2016,North America,Black,Diesel,Automatic,2.4,146145,97045,5342,Low
M3,2014,Middle East,Blue,Diesel,Manual,2.7,50198,86517,5361,Low
5 Series,2012,South America,Silver,Diesel,Manual,2.1,119719,68585,5515,Low
X1,2012,South America,Blue,Diesel,Manual,2.1,57269,40001,8943,High
X3,2012,Europe,Blue,Petrol,Manual,1.5,118518,57219,4825,Low
X6,2011,South America,White,Diesel,Automatic,2.8,16959,93162,3156,Low
X1,2018,Middle East,Black,Electric,Automatic,1.8,38735,51110,9999,High
M3,2013,Europe,Black,Petrol,Manual,1.5,68444,99214,5290,Low
3 Series,2014,North America,Black,Petrol,Manual,2.4,184582,73194,6466,Low
X3,2022,Middle East,Red,Electric,Manual,1.0,24145,102329,6316,Low
M5,2015,Europe,Blue,Hybrid,Automatic,2.7,51251,119126,6349,Low
X3,2017,North America,Black,Electric,Manual,2.0,140936,98908,8856,High
i8,2017,South America,Blue,Hybrid,Automatic,3.1,183499,89939,5482,Low
5 Series,2023,Africa,Grey,Petrol,Automatic,2.6,61488,65736,9999,High
5 Series,2022,South America,White,Electric,Manual,1.7,111141,80177,8713,High
X1,2011,Middle East,White,Petrol,Automatic,1.9,130036,46698,8879,High
i8,2014,South America,White,Hybrid,Manual,2.3,38433,85451,5438,Low
i3,2013,Africa,Grey,Electric,Automatic,1.2,46201,38115,9691,High
i3,2020,South America,Silver,Electric,Automatic,1.2,46254,42979,8569,High
3 Series,2024,Asia,Red,Electric,Automatic,1.9,62651,77640,9999,High
X3,2014,Africa,Grey,Petrol,Manual,2.2,184556,68981,8958,High
i3,2011,Middle East,White,Electric,Manual,1.8,32541,47142,5679,Low
3 Series,2020,Middle East,Red,Hybrid,Automatic,1.6,29896,52809,9999,High
X6,2013,Asia,Red,Petrol,Automatic,2.6,150143,90460,6486,Low
7 Series,2023,Europe,White,Petrol,Automatic,2.9,111815,155000,6632,Low
X3,2015,Asia,White,Electric,Automatic,2.8,57605,59422,6588,Low
X1,2011,Middle East,White,Electric,Automatic,2.6,54436,40340,9999,High
X6,2022,North America,Red,Petrol,Manual,2.7,193169,117148,4692,Low
M3,2015,Europe,Red,Electric,Automatic,3.0,167193,61936,5025,Low
X6,2013,Asia,Silver,Petrol,Automatic,2.8,76340,102881,5119,Low
X5,2020,Middle East,Black,Petrol,Manual,2.7,93674,95907,3643,Low
i8,2010,Asia,Silver,Hybrid,Manual,2.7,64210,73019,5947,Low
X6,2016,Asia,Red,Diesel,Automatic,2.9,107084,90291,7153,High
5 Series,2022,Middle East,Grey,Electric,Manual,2.5,61315,97286,4976,Low
X3,2020,Asia,Silver,Hybrid,Automatic,2.5,107056,92645,9758,High
X1,2024,Middle East,Grey,Diesel,Manual,2.0,75551,63392,9999,High
X3,2011,Africa,Silver,Hybrid,Manual,1.9,175941,48557,5307,Low
X5,2023,South America,Blue,Diesel,Automatic,2.1,67568,111804,5970,Low
7 Series,2015,Africa,Blue,Petrol,Automatic,3.5,145151,65736,5106,Low
X3,2012,Middle East,Grey,Petrol,Automatic,2.2,172488,84277,6455,Low
7 Series,2015,Africa,Silver,Petrol,Automatic,3.9,34164,104735,6182,Low
i8,2011,Europe,Blue,Hybrid,Automatic,2.2,152714,100939,6510,Low
i3,2015,Europe,Blue,Electric,Automatic,2.1,167949,67282,9999,High
i8,2021,Europe,Silver,Hybrid,Manual,2.7,83696,78807,3865,Low
i3,2015,Asia,White,Diesel,Automatic,2.1,9271,36484,6490,Low
7 Series,2010,North America,White,Petrol,Automatic,2.8,66741,125570,4634,Low
5 Series,2019,Asia,Silver,Electric,Manual,2.6,34781,58678,9671,High
M3,2017,Europe,Blue,Electric,Manual,1.9,153798,100217,5508,Low
7 Series,2022,North America,Grey,Electric,Manual,3.8,133351,155000,6417,Low
i3,2013,Europe,Blue,Electric,Manual,1.6,152126,47270,6096,Low
7 Series,2010,South America,White,Diesel,Manual,3.0,20091,105199,3645,Low
i3,2011,North America,Red,Electric,Manual,1.6,37144,43690,9999,High
X3,2018,South America,Grey,Petrol,Automatic,1.9,85176,69861,6405,Low
7 Series,2015,North America,Grey,Petrol,Automatic,4.1,153584,131145,4260,Low
5 Series,2023,Africa,Blue,Petrol,Manual,2.0,138386,59350,9431,High
M5,2014,Africa,Black,Petrol,Manual,2.8,178307,75438,3674,Low
X3,2020,Asia,Silver,Petrol,Automatic,1.7,142328,82310,8208,High
3 Series,2024,Asia,Red,Hybrid,Manual,2.1,138435,85724,6856,Low
M3,2024,Asia,Silver,Electric,Manual,2.3,198071,84571,9867,High
7 Series,2024,Asia,Red,Electric,Automatic,3.6,75325,118964,3878,Low
i3,2010,Europe,White,Hybrid,Manual,1.5,159134,33543,8715,High
M3,2010,Asia,Red,Petrol,Automatic,2.7,114003,75109,6921,Low
7 Series,2021,North America,White,Electric,Manual,3.0,64987,100880,6287,Low
X3,2017,South America,Black,Electric,Automatic,2.2,53847,74566,8466,High
3 Series,2021,Asia,Black,Petrol,Manual,2.2,141980,55354,9999,High
i8,2017,Africa,White,Hybrid,Manual,3.2,26149,67510,4573,Low
M5,2010,Middle East,Blue,Diesel,Automatic,2.5,104345,100201,4977,Low
i3,2017,South America,Silver,Electric,Manual,1.3,186484,59542,6823,Low
X5,2021,South America,Black,Electric,Manual,2.5,126255,94928,3970,Low
7 Series,2011,Europe,Red,Petrol,Manual,3.4,97818,97639,2805,Low
M3,2020,Middle East,Red,Hybrid,Automatic,2.1,130456,90301,4151,Low
7 Series,2024,Africa,White,Hybrid,Automatic,4.4,54430,115586,5686,Low
i3,2012,Asia,Silver,Electric,Manual,1.7,99675,63355,9681,High
5 Series,2018,Africa,Blue,Hybrid,Automatic,2.6,65718,59830,9514,High
i3,2022,Asia,Black,Hybrid,Automatic,2.4,116606,48509,9999,High
7 Series,2020,Middle East,Blue,Electric,Manual,3.9,131070,152693,3035,Low
X1,2010,Middle East,White,Diesel,Manual,1.3,43864,62802,9999,High
i3,2018,Asia,Black,Electric,Manual,1.0,53153,66385,9999,High
X6,2023,Europe,Silver,Electric,Automatic,3.2,110353,142860,5501,Low
M3,2016,Asia,White,Petrol,Automatic,2.4,155342,92940,6459,Low
3 Series,2021,Middle East,Red,Electric,Automatic,2.3,20125,47538,7666,High
M3,2017,Europe,Grey,Hybrid,Automatic,1.8,7452,114834,4879,Low
M3,2020,South America,Black,Electric,Automatic,3.1,96085,56714,6235,Low
M3,2014,Africa,Blue,Hybrid,Manual,2.9,47506,83034,6927,Low
7 Series,2014,Middle East,Red,Electric,Automatic,3.5,164000,105775,3941,Low
i3,2022,Asia,Black,Hybrid,Automatic,2.2,61853,65884,9999,High
3 Series,2014,Asia,Blue,Petrol,Manual,1.0,164026,68504,9999,High
M5,2023,North America,Red,Hybrid,Manual,3.3,175761,93532,5281,Low
M5,2010,South America,Blue,Petrol,Automatic,2.3,65025,90533,2863,Low
X6,2012,Europe,Black,Petrol,Automatic,2.3,110207,75517,4204,Low
M5,2024,Africa,White,Petrol,Automatic,3.9,15634,120039,7081,High
3 Series,2012,North America,Silver,Diesel,Automatic,1.8,187225,41496,8635,High
3 Series,2022,South America,Blue,Petrol,Manual,1.3,192916,61284,9999,High
X5,2016,Asia,Blue,Petrol,Manual,2.6,40242,110514,7153,High
X6,2021,Europe,Red,Electric,Automatic,3.1,14771,118968,4440,Low
7 Series,2018,Africa,Black,Petrol,Manual,3.8,69400,113440,4444,Low
X3,2012,Europe,Silver,Petrol,Automatic,1.8,118194,72010,4472,Low
X3,2022,Asia,Silver,Hybrid,Automatic,1.9,153507,100916,8790,High
M5,2013,Africa,White,Diesel,Automatic,2.6,178836,85089,4398,Low
5 Series,2017,South America,Red,Hybrid,Automatic,2.6,101258,71448,7833,High
